date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:00:50	109/109	---MC-	200	added ('OK')	text/plain	date:Tue,%2019%20Mar%202024%2006:30:49%20GMT	https://bragg.mx/robots.txt		(from )
12:00:51	177319/177319	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Mar%202024%2006:30:50%20GMT	https://bragg.mx/	/Users/sahil.banga/websites/bragg_new/bragg.mx/index.html	(from )
12:00:52	14768/14768	---M--	200	added ('OK')	font/woff2	date:Wed,%2006%20Sep%202023%2016:28:21%20GMT	https://bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.woff2	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.woff2	(from https://bragg.mx/)
12:00:52	19360/19360	---M--	200	added ('OK')	font/woff	date:Wed,%2006%20Sep%202023%2016:28:22%20GMT	https://bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.woff	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.woff	(from https://bragg.mx/)
12:00:53	34172/34172	---M--	200	added ('OK')	font/ttf	date:Wed,%2006%20Sep%202023%2016:28:23%20GMT	https://bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.ttf	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.ttf	(from https://bragg.mx/)
12:00:55	88964/88964	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2006%20Sep%202023%2016:28:23%20GMT	https://bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.svg	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.svg	(from https://bragg.mx/)
12:00:55	34486/34486	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2006%20Sep%202023%2016:28:24%20GMT	https://bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvy.eot?	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/uploads/2023/09/ITCFranklinGothicStd-Hvyd41d.eot	(from https://bragg.mx/)
12:00:56	17688/17688	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2020:14:36%20GMT	https://bragg.mx/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.4.0	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/woocommerce/assets/css/woocommerce-layout2678.css	(from https://bragg.mx/)
12:00:57	696/696	---MC-	200	added ('OK')	application/rss+xml	etag:%2293d7ae0e2a32620c4952a65c942bcbb7%22	https://bragg.mx/comments/feed/	/Users/sahil.banga/websites/bragg_new/bragg.mx/comments/feed/index.html	(from https://bragg.mx/)
12:00:58	7043/7043	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Dec%202023%2020:14:36%20GMT	https://bragg.mx/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.4.0	/Users/sahil.banga/websites/bragg_new/bragg.mx/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen2678.css	(from https://bragg.mx/)
